Domain,Category ,Definition ,Sub-category ,Definition ,Factor,Definition ,Source ,Type ,Qualitative,DHS,Pathways Survey,Second Domain ,Application (Geography),Alternative questions in DHS 7,Other Notes,Why does it impact vulnerability and overall health outcomes
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Emotional support,The extent to which women feel that they are emotionally supported by their partner in their relationship. Emotional support is critical to coping potential and resilience. The absence of it can make women more vulnerable to negative outcomes.,Reassurance,Whether the participant feels that her partner mostly or always supports her by reassuring her in emotionally distressing times.,,Qualitative,TRUE,FALSE,FALSE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Emotional support,The extent to which women feel that they are emotionally supported by their partner in their relationship. Emotional support is critical to coping potential and resilience. The absence of it can make women more vulnerable to negative outcomes.,Empathy,Whether the participant feels that her partner mostly or always values her feelings/pleasure and not just his own,,Qualitative,TRUE,FALSE,FALSE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Emotional support,The extent to which women feel that they are emotionally supported by their partner in their relationship. Emotional support is critical to coping potential and resilience. The absence of it can make women more vulnerable to negative outcomes.,Affection,Whether the participant feels that her partner mostly or always shows her affection and does things which brings her joy,,Qualitative,TRUE,FALSE,FALSE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Emotional support,The extent to which women feel that they are emotionally supported by their partner in their relationship. Emotional support is critical to coping potential and resilience. The absence of it can make women more vulnerable to negative outcomes.,Non-judgment,Whether the participant feels that her partner rarely or never criticizes her,,Qualitative,TRUE,FALSE,FALSE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Compatibility,The extent to which the woman is compatible with her partner and content in the relationship ,Goal alignment,Whether the participant and her partner are alligned around their life goals,,Qualitative,TRUE,FALSE,FALSE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Compatibility,The extent to which the woman is compatible with her partner and content in the relationship ,Age of partner,The age of the partner,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Compatibility,The extent to which the woman is compatible with her partner and content in the relationship ,Age gap between woman and partner,The age difference between the participant and her partner,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Compatibility,The extent to which the woman is compatible with her partner and content in the relationship ,Level of education of the partner,The level of education of the partner,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,Household economics and living conditions,,,"The educational level of the partner impacts the beliefs and gender based attitudes of the partner, impacting partner and power dynamics in the relationship. ",
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Child health decisions,Whether the participant is the primary or joint decision maker around child health decisions ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Child health finances decisions,Whether the participant is responsible for paying for child care either alone or jointly.,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Woman's health decisions,Whether the participant is able to alone or jointly make decisions around her own healthcare.,,,FALSE,TRUE,FALSE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Own Income decisions,Whether the participant is able to alone or jointly make decisions around her own income,,,FALSE,TRUE,FALSE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Partners Income decisions,Whether the participant is able to alone or jointly make decisions around her partners income,,,FALSE,TRUE,FALSE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Purchase for self decisions ,Whether the participant is able to alone or jointly make a decision around purchasing clothing for herself or her children without asking anyone for permission ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Mobility decisions ,"Whether the participant is able to visit the market, her natal home and her friends without needing permission from anyone",Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Big ticket decisions,Whether the participant is the primary or joint decision maker around major family decisions like marriage or education of childen  ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Large purchase decisions ,Whether the participant is the primary or joint decision maker around large purchases made by the household ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Family planning decisions ,Whether the participant is the primary or joint decision maker around the usage of contraceptives ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Everyday domestic decisions,Whether the participant is the primary or joint decision maker around everyday domestic decisions like cooking ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Decision making on work ,Whether the woman did not work in the past year due to family not allowing it ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Index: Autonomous decision making ,Whether the woman can take more than 3 decisions autonomously ,,,FALSE,TRUE,TRUE,,,,The cut off of 3 decisions can be tailored according to context ,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Decision making power,The ability of the woman to be either the primary or the secondary decision maker around major decisions involving her life.,Index: Involved in decision making ,Whether the woman can take more than 3 decisions autonomously or jointly with others,,,FALSE,TRUE,TRUE,,,,The cut off of 3 decisions can be tailored according to context ,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Domestic Violence ,"Experiences of physical, sexual, or emotional harm inflicted by the participant's partner.",Experience of physical violence ,Whether the participant has ever experienced physical violence from her partner,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Domestic Violence ,"Experiences of physical, sexual, or emotional harm inflicted by the participant's partner.",Experience of emotional violence ,Whether the participant has ever experienced emotional violence from her partner,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Domestic Violence ,"Experiences of physical, sexual, or emotional harm inflicted by the participant's partner.",Experience of domestic violence during pregnancy,Whether the participant has ever experienced physical violence during her pregnancy ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Domestic Violence ,"Experiences of physical, sexual, or emotional harm inflicted by the participant's partner.",Justification of domestic violence,The level to which the participant justifies domestic violence in different scenarios,Primary Survey,Quantitative,FALSE,FALSE,TRUE,Women and her past experiences,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Substance abuse ,Experience of substance use by the participant's partner and its impact on the family,Partner abuses substance ,Whether the woman's partner abuses any kind of substance ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Substance abuse ,Experience of substance use by the participant's partner and its impact on the family,Impact of substance abuse ,Whether the substance abuse of the partner has negatively impacted their life ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Household conflict ,The extent and reasons behind physical and emotional conflict in the house,Frequency of household conflict,Whether the household sees conflicts more than 2 days in a week,,Qualitative,TRUE,FALSE,FALSE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Household conflict ,The extent and reasons behind physical and emotional conflict in the house,Reasons behind conflict,The reasons behind conflict in the household,,Qualitative,TRUE,FALSE,FALSE,,,,,
Household Relationships ,Power dynamics ,"Decision-making authority, control and conflict seen in an intimate patner relationship.",Household conflict ,The extent and reasons behind physical and emotional conflict in the house,Relative earnings ,Whether the woman earns more or less than the partner,,,FALSE,TRUE,FALSE,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network ,"The size, structure and the quality of the support network of the woman.",Size of support network ,The size of the network that the participant could expect support from for personal problems,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network ,"The size, structure and the quality of the support network of the woman.",Ease of accessing support- neighbours ,How easily the participnat feels she can mobilize support from neighbours ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network ,"The size, structure and the quality of the support network of the woman.",Ease of accessing support- friends and religious groups ,How easily the participant feels she can mobilize support from friends and religious groups  ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network,"The size, structure and the quality of the support network of the woman.",Participation in savings groups ,Whether the woman regularly participates in a women's savings group,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network,"The size, structure and the quality of the support network of the woman.",Presence of financial support network ,Whether the participant is able to borrow money from someone when she needs it ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network,"The size, structure and the quality of the support network of the woman.",Type of financial network ,"Whether the participant has borrowed from- 
a) Family based sources 
b) Community based sources
c) Institutional sources ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network,"The size, structure and the quality of the support network of the woman.",Purpose of loan ,"The reason behind borrowing money between- 
a) Every day expenses 
b) Investment and asset purchase 
c) Health expenses 
d) Education 
e) Marriage ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network,"The size, structure and the quality of the support network of the woman.",Size of network supported by husband / partner,The number of people financially supported by the husband of the participant ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,Household Relationships,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network,"The size, structure and the quality of the support network of the woman.",Size of network supported by woman,The number of people financially supported by the participant ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,Household Relationships,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Social Network,"The size, structure and the quality of the support network of the woman.",Support from natal home,Perception of ease of support from natal home,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Sense of belonging ,The feeling of being connected and included in the community,Opinion being valued ,How many people in the community does the participant believe value her opinion,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Sense of belonging ,The feeling of being connected and included in the community,Sense of safety ,Whether the participant feels safe in the community,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Sense of belonging ,The feeling of being connected and included in the community,Sense of alienation,Whether the participant mostly or always feels like she does not belong to the community,,Qualitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Availability of support ,Perecption of the participant about her support network being able to provide different types of support. ,Emotional support ,"Whether the participant can get advice and support from someone close to her, when she needs it  ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Availability of support ,Perecption of the participant about her support network being able to provide different types of support. ,Health advisory support ,Whether the participant can get health advice from someone when she needs it  ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Availability of support ,Perecption of the participant about her support network being able to provide different types of support. ,Emergency support ,Whether the participant believes people will support her in the time of an emergency ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Availability of support ,Perecption of the participant about her support network being able to provide different types of support. ,Ceremonial support ,"Whether the participant feels she will get the necessary support during major ceremonies like marriage, funerals, naming ceremonies etc. ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Availability of support ,Perecption of the participant about her support network being able to provide different types of support. ,Childcare support,Whether the participant can ask a friend or family member to take care of a child or a family member,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Availability of support ,Perecption of the participant about her support network being able to provide different types of support. ,Instrumental support ,Whether the participant can ask a family member for help with household duties ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Social Support ,Social Capital ,"The size, composition and embeddedness of the woman in social networks. ",Institutional support ,Whether the participant and her family has access to formal support systems ,Not covered by insurance ,Whether the participant has at least one family member who is not covered by insurance ,,,FALSE,TRUE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Trust,"The level of trust that the woman has on her support provider. Trust is understood through 4 dimensions explored in the behavioral reserach- Transparency, Sense of safety, perceived sense of integrity of the partner and perceived certainty/predictability of support",Perception of transparency,Whether the participant feels that her support provider (beyond her partner) rarely or never lies to her,,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Trust,"The level of trust that the woman has on her support provider. Trust is understood through 4 dimensions explored in the behavioral reserach- Transparency, Sense of safety, perceived sense of integrity of the partner and perceived certainty/predictability of support",Perception of sense of safety,"Whether the participant feels that her support provider, mostly or always makes her feel safe and rarely or never threatens to leave her",,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Trust,"The level of trust that the woman has on her support provider. Trust is understood through 4 dimensions explored in the behavioral reserach- Transparency, Sense of safety, perceived sense of integrity of the partner and perceived certainty/predictability of support",Perception of certainty of support,"Whether the participant feels that her support provider (beyond her partner) mostly or always provides her positive emotional support (appreciation, safety, gratitude and comfort)",,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Emotional support,"The extent to which the woman feels that she is emotionally supported by their support provider in their relationship. Emotional support is critical to coping potential and resilience and the absence of it, can make women more vulnerable to negative outcomes.",Reassurance,Whether the participant feels that her support provider (beyond her partner) mostly or always supports her by reassuring her in emotionally distressing times.,,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Emotional support,"The extent to which the woman feels that she is emotionally supported by their support provider in their relationship. Emotional support is critical to coping potential and resilience and the absence of it, can make women more vulnerable to negative outcomes.",Empathy,Whether the participant feels that her support provider (beyond her partner) mostly or always values her feelings/pleasure and not just his own,,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Emotional support,"The extent to which the woman feels that she is emotionally supported by their support provider in their relationship. Emotional support is critical to coping potential and resilience and the absence of it, can make women more vulnerable to negative outcomes.",Affection,Whether the participant feels that her support provider (beyond her partner) mostly or always shows her affection and does things which brings her joy,,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Emotional support,"The extent to which the woman feels that she is emotionally supported by their support provider in their relationship. Emotional support is critical to coping potential and resilience and the absence of it, can make women more vulnerable to negative outcomes.",Non-judgment,Whether the participant feels that her support provider (beyond her partner) rarely or never criticizes her,,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Compatibility,The extent to which the woman is compatible and content in the relationship with her support provider,Goal alignment,Whether the participant and her support provider (beyond her partner) are aligned around their life goals,,Qualitative,TRUE,FALSE,FALSE,,,,,
Social Support ,Quality of support ,"The consistency, reliability, and emotional safety of the support the woman receives from family, friends, or community members.",Compatibility,The extent to which the woman is compatible and content in the relationship with her support provider,Contentment,Whether the participant rarely or never imagines leaving her support provider,,Qualitative,TRUE,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Income earning roles and work quality,The availability and stability of income for the household,Number of members involved in income generation,The number of people in the family involved in income earning roles,,,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Income earning roles and work quality,The availability and stability of income for the household,Type of work / means of earning,"The primary source of income for the family e.g. wages/salaries, agricultural sales, remittances, pension, government social protection etc",Primary Survey,,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Income earning roles and work quality,The availability and stability of income for the household,Occupation of the head of the household ,The primary occupation of the head of the household ,Primary Survey,,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Income earning roles and work quality,The availability and stability of income for the household,Women employed in the household,Whether any adult woman in the family is employed in an income earning role,,,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Partner work status,The availability and stability of income for the partner,Partner education status,The level of education of the partner of the participant ,Survey and DHS,,FALSE,TRUE,TRUE,Household Relationships,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Partner work status,The availability and stability of income for the partner,Partner employment status,Whether the partner of the woman is employed in an income earning role,Survey and DHS,,FALSE,TRUE,TRUE,,,Whether the partner has been employed in the past 7 days or 12 months ,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Partner work status,The availability and stability of income for the partner,Partner type of work / means of earning,Type of work the partner is engaged in a) professional/managerial/clerical work b) agricultural work c) service related work d) manual labour,Survey and DHS,,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Partner work status,The availability and stability of income for the partner,Stability of income source,Whether the partner is engaged in work a) throughout the year b)seasonally or partly through the year c) whenever work is available,,,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Asset base,The nature of structural assets that the family possesses which contributes to economic stress,Ownership of agricultural land ,Whether anyone in the household owns agricultural land ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Asset base,The nature of structural assets that the family possesses which contributes to economic stress,Onwership of residential land ,Whether anyone in the household owns land for residential use ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Asset base,The nature of structural assets that the family possesses which contributes to economic stress,Livestock ownership,Whether anyone in the household owns any livestock,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Asset base,The nature of structural assets that the family possesses which contributes to economic stress,Home ownership,Whether the household owns the house they live in ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Asset base,The nature of structural assets that the family possesses which contributes to economic stress,Cell phone ownership ,Whether anyone in the household owns a cellphone,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Asset base,The nature of structural assets that the family possesses which contributes to economic stress,Composite asset base,The composite asset base of the household based on a total of 13 functional items in the household ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Living conditions ,"The physical state abd spacing availability of the household environment, as indicators of economic status.",Unfinished walls and floor,Whether the walls and floor in the household are finished,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Living conditions ,"The physical state abd spacing availability of the household environment, as indicators of economic status.",Unfinished roof ,Whether the roof in the house is finished ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic resources and infrastructure,"The household’s sources of income, asset base, and the quality of physical living conditions that support or constrain well-being.",Living conditions ,"The physical state abd spacing availability of the household environment, as indicators of economic status.",Rooms for sleeping ,The number of rooms available to the family for sleeping,Primary Survey,Quantitative,FALSE,TRUE,TRUE,Human and Natural systems,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Women work status and finacial access ,The availability and stability of income for the woman,Employment status,Whether the woman is employed in an income earning role in the past week ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Women work status and finacial access ,The availability and stability of income for the woman,Type of work / means of earning,Type of work that the woman has been engaged in the past year ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Women work status and finacial access ,The availability and stability of income for the woman,Professional work ,Whether the woman has primarily been engaged in professional work in the past year ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Women work status and finacial access ,The availability and stability of income for the woman,Money received ,Whether the woman has received support in cash or kind from any source in the past year ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Women work status and finacial access ,The availability and stability of income for the woman,Lack of work opportunities ,Whether the woman did not work in the past year due to lack of work opportunities,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Women work status and finacial access ,The availability and stability of income for the woman,Health as a barrier to work ,Identifies if the woman did not work in the past year due to poor health ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Woman's economic agency ,The availability and stability of income for the woman,Woman's bank account ownership ,"Whether the participant has a bank account, a joint account ot both ",Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Woman's economic agency ,The availability and stability of income for the woman,Microfinance account ownership ,Whether the participant or anyone in her family owns a savings account with a  microfinance institution,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Woman's economic agency ,The availability and stability of income for the woman,Mobile banking account,"Whether the participant has her own mobile account, a joint mobile account or both",Primary Survey,Quantitative,FALSE,TRUE,TRUE,,Regional,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Woman's economic agency ,The availability and stability of income for the woman,Mobile banking usage ,Whether the mobile banking account was used within the past month,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Woman's economic agency ,The availability and stability of income for the woman,Control over finances ,Whether the woman has full control over the money she earns or receives ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Women's economic position and agency ,"The woman’s participation in income generation, access to financial tools, and control over economic resources. ",Woman's economic agency ,The availability and stability of income for the woman,Access to money for self-consumption ,Whether the woman has access to money to spend on herself ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic support ,"Access to sources of financial assistance, including remittances, community transfers, or instututional support.",Economic Support,NA,Household receipt of financial assistance (cash transfer or any social assistance),Whether the household of the woman receives any kind of financial support from the government or any donor organizations,Primary Survey,,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Economic support ,"Access to sources of financial assistance, including remittances, community transfers, or instututional support.",Economic Support ,NA,Participation in self-help groups,Whether the participant has attended any self-help group meetings in the past 3 months,Primary Survey,Quantitative,FALSE,TRUE,TRUE,Social support,,,,
Household economics and living conditions,Economic support ,"Access to sources of financial assistance, including remittances, community transfers, or instututional support.",Household Borrowing ,Patterns of saving and borrowing within the household as indicators of financial distress,Savings behavior  ,Whether the HH has been able to save money in the past year ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
